data_name,prepr_name,model_name,param_c,param_gamma,param_linvar,test_acc,test_f1,test_acc_pc,test_acc_nc,cv_acc,cv_f1,cv_acc_pc,cv_acc_nc,hyper_params,is_normalized
musan,SpectroData,simple_cnn,,,,1,1,1,1,0.995650281353114,0.996335463416029,0.995479344297623,0.996245461084225,,1
musan,SpectroData,mv_nn,,,,0.990783410138249,0.991525423728814,0.991525423728814,0.98989898989899,0.9940804744837,0.995138436364106,0.995492469114752,0.991969727312743,"{""hidden_neurons"": [200, 200], ""dropout"": 0.0}",1
musan,SpectroData,mv_svm,,,,0.995391705069124,0.995744680851064,0.991525423728814,1,0.993986175115208,0.995057165992782,0.995418692139531,0.991626329252646,"{""C"": 11.421052631578947, ""gamma"": 0.04175318936560409}",1
musan,RhythmData,mv_nn,,,,0.995391705069124,0.996282527881041,1,0.987951807228916,0.987882317801673,0.989960775338441,0.98938868845306,0.985885855015929,"{""hidden_neurons"": [50, 50], ""dropout"": 0.0}",1
musan,RhythmData,mv_svm,,,,0.990783410138249,0.992592592592593,1,0.975903614457831,0.987696705922512,0.989769816843702,0.989851303062784,0.98438310540938,"{""C"": 53.10526315789473, ""gamma"": 0.09236708571873885}",1
musan,MIRData,simple_cnn,,,,0.976958525345622,0.98204592515796,0.97146863981326,0.983614952333512,0.98473203590287,0.987418860304089,0.986351051359254,0.982760283001903,,1
musan,MIRData,mv_svm,,,,0.986175115207373,0.98876404494382,0.985074626865672,0.987951807228916,0.983440860215054,0.986355394169819,0.984423020281541,0.982128983893234,"{""C"": 79.1578947368421, ""gamma"": 0.018873918221350997}",1
musan,RhythmData,simple_cnn,,,,0.986175115207373,0.988929889298893,1,0.963855421686747,0.980758661887694,0.984044526090494,0.979905987020069,0.981898440080148,"{""hidden_neurons"": [200, 200], ""dropout"": 0.0}",1
musan,MIRData,mv_nn,,,,0.995391705069124,0.996014432423675,0.992238664407334,1,0.978535159380083,0.982061727910872,0.984630846089115,0.969013788169267,,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1
